2Theta,0h,2h,4h,6h,8h,10h,12h,14h,16h,18h,20h,22h,24h
40.0015,650,632,641,659,688,668,678,651,665,678,643,644,628
40.0217,666,642,659,619,641,677,603,613,648,646,620,634,612
40.0418,653,641,695,620,657,638,621,666,685,668,633,639,607
40.062,641,636,615,666,638,655,604,602,640,659,660,625,708
40.0822,698,631,649,672,665,675,662,627,642,639,697,678,696
40.1023,670,634,682,684,641,691,657,629,647,655,598,654,634
40.1225,675,615,657,678,623,661,729,639,663,607,676,621,701
40.1427,640,611,621,643,656,628,658,687,642,637,609,657,621
40.1628,678,668,659,725,653,690,682,696,643,644,710,613,642
40.183,671,658,688,693,588,630,646,637,639,643,633,629,611
40.2032,690,628,634,686,631,629,632,635,652,675,652,670,677
40.2233,640,660,694,699,611,649,640,667,645,651,646,656,621
40.2435,687,657,662,631,606,637,662,645,656,629,616,656,672
40.2637,698,669,648,671,622,634,674,625,630,641,587,628,627
40.2838,690,664,674,666,647,653,636,654,645,611,637,671,638
40.304,664,657,664,646,639,693,660,655,660,638,614,637,688
40.3242,668,652,663,675,692,670,688,645,672,657,687,635,623
40.3444,643,672,641,699,672,650,633,635,649,656,630,652,688
40.3645,696,617,648,647,683,681,646,619,622,640,633,627,658
40.3847,668,636,625,661,609,643,670,624,638,667,641,665,654
40.4049,722,640,637,681,673,601,610,648,630,651,571,669,629
40.425,667,641,686,637,658,604,613,630,634,663,641,616,651
40.4452,653,641,665,674,643,625,686,621,606,658,633,650,642
40.4654,657,624,645,681,648,666,599,633,643,628,640,617,649
40.4855,671,644,657,670,631,656,682,652,673,647,700,628,666
40.5057,661,642,656,669,674,695,683,618,700,676,660,608,612
40.5259,643,691,644,665,649,635,658,645,648,629,614,626,646
40.546,678,676,682,666,640,634,669,605,638,616,675,673,654
40.5662,673,656,679,699,676,641,637,597,637,621,636,625,633
40.5864,628,643,667,664,633,644,652,631,610,610,651,665,627
40.6065,660,677,607,655,640,687,634,631,655,620,618,662,627
40.6267,659,693,672,604,655,638,640,660,630,640,641,666,639
40.6469,721,678,637,635,661,588,674,632,644,619,573,656,706
40.6671,699,666,642,626,630,619,648,648,611,594,659,613,686
40.6872,634,665,624,710,643,620,650,681,698,600,632,659,682
40.7074,686,648,665,654,653,675,630,633,619,594,646,595,619
40.7276,695,696,675,623,640,612,672,658,645,642,644,679,646
40.7477,674,690,619,646,642,629,629,663,645,666,672,653,629
40.7679,650,714,684,671,668,634,615,609,698,675,665,643,595
40.7881,686,630,611,705,625,624,613,622,656,646,625,646,651
40.8082,676,680,710,696,658,651,637,634,651,645,584,620,665
40.8284,684,675,657,746,689,603,637,647,649,588,589,664,658
40.8486,662,642,682,678,650,669,643,636,656,638,629,690,634
40.8687,694,652,672,663,635,611,665,621,648,605,633,639,654
40.8889,674,674,689,641,674,640,648,647,637,627,655,620,619
40.9091,698,666,727,673,677,660,687,606,697,597,641,673,591
40.9292,672,654,666,700,632,645,667,643,620,657,633,644,662
40.9494,690,703,661,718,681,634,652,680,607,629,665,684,640
40.9696,716,635,625,652,686,590,613,626,676,650,674,633,674
40.9897,720,662,659,630,688,652,659,647,669,687,674,604,649
41.0099,682,692,719,726,676,633,667,639,674,674,627,648,622
41.0301,693,661,697,651,617,633,668,660,700,641,630,649,632
41.0503,725,691,734,741,679,632,636,678,641,590,695,630,619
41.0704,690,715,650,689,675,648,651,688,642,612,621,598,610
41.0906,673,695,661,615,629,660,573,628,672,620,641,597,658
41.1108,733,675,652,691,681,692,670,618,700,649,652,659,667
41.1309,698,657,712,670,637,660,637,638,616,636,692,620,630
41.1511,731,688,737,691,654,644,603,677,619,704,637,692,666
41.1713,726,703,723,678,684,641,609,647,649,641,640,668,688
41.1914,714,691,707,683,688,644,642,584,687,637,658,672,661
41.2116,744,747,693,676,634,697,636,655,696,629,653,649,620
41.2318,747,719,721,706,693,663,634,639,713,657,669,652,648
41.2519,643,700,657,695,690,597,677,669,669,613,648,603,673
41.2721,676,697,738,704,678,604,659,639,652,670,609,621,659
41.2923,740,740,698,651,652,641,676,635,651,643,644,615,627
41.3124,738,712,694,690,677,657,616,653,689,587,601,677,641
41.3326,689,721,711,668,691,676,666,671,684,647,637,672,630
41.3528,743,657,665,727,688,616,701,653,668,661,673,699,674
41.3729,714,707,696,707,685,681,609,664,646,643,666,711,644
41.3931,731,653,733,655,712,688,629,654,666,669,625,656,621
41.4133,716,731,715,730,644,632,655,696,616,609,620,592,666
41.4335,677,671,666,721,694,637,653,678,696,656,698,683,660
41.4536,724,680,694,658,671,656,673,646,652,655,623,635,613
41.4738,750,747,753,678,642,623,621,652,638,632,657,653,658
41.494,737,732,660,671,698,648,732,652,669,650,603,641,620
41.5141,702,712,706,646,644,696,605,691,639,637,667,688,646
41.5343,714,722,714,711,694,652,657,591,660,659,670,679,643
41.5545,710,722,755,721,697,656,653,705,634,688,603,679,722
41.5746,750,671,650,724,663,626,683,692,670,608,660,655,651
41.5948,725,705,699,714,702,692,639,667,637,611,652,678,636
41.615,717,718,771,761,715,661,710,620,661,657,690,632,661
41.6351,767,736,764,734,640,631,627,618,617,655,667,649,700
41.6553,748,702,710,706,693,716,667,690,639,640,671,630,610
41.6755,745,719,698,723,702,647,695,660,598,691,628,626,673
41.6956,715,697,703,773,680,662,637,647,681,694,623,650,660
41.7158,724,763,707,767,668,626,689,677,652,685,668,621,656
41.736,756,728,797,752,699,693,685,707,678,675,631,680,637
41.7562,749,711,717,762,720,657,674,646,612,677,667,608,617
41.7763,764,725,730,705,639,647,685,624,648,648,696,617,657
41.7965,817,759,743,746,692,655,654,658,632,682,637,700,617
41.8167,745,737,705,754,687,664,633,653,608,668,672,656,685
41.8368,767,735,813,750,700,706,674,670,688,700,654,671,643
41.857,783,727,758,745,704,705,656,672,663,669,635,695,626
41.8772,798,777,756,737,784,731,684,691,690,705,662,655,654
41.8973,741,742,749,762,724,693,721,712,711,701,723,648,675
41.9175,801,817,819,795,795,716,736,742,727,714,703,719,718
41.9377,774,815,838,831,776,764,710,756,740,750,755,752,754
41.9578,853,838,828,833,785,747,730,760,799,747,744,780,768
41.978,817,770,856,807,781,757,726,758,815,738,689,756,779
41.9982,833,814,831,813,840,758,767,754,790,725,752,775,753
42.0183,875,808,862,841,792,761,713,780,773,718,774,750,841
42.0385,837,864,815,808,817,788,774,744,745,781,779,787,768
42.0587,885,811,857,800,822,786,780,745,757,767,756,762,749
42.0788,918,878,799,854,822,776,772,785,760,801,768,808,834
42.099,863,867,825,862,788,764,792,811,724,760,746,731,737
42.1192,797,839,891,809,812,836,773,767,783,793,754,799,762
42.1394,826,819,914,851,818,790,716,786,761,717,768,789,833
42.1595,915,849,818,861,821,792,793,768,760,815,761,768,726
42.1797,895,893,877,865,828,818,754,814,817,723,790,739,800
42.1999,904,894,894,877,763,772,817,841,749,794,744,735,760
42.22,860,890,911,836,830,786,767,768,752,761,719,752,767
42.2402,848,908,892,891,861,746,831,770,783,773,749,790,758
42.2604,918,844,854,866,800,766,807,806,797,797,772,763,785
42.2805,921,857,892,846,861,787,771,808,738,804,693,733,737
42.3007,929,874,889,841,826,837,784,808,745,799,747,796,733
42.3209,938,909,946,901,853,774,746,775,782,773,729,767,771
42.341,946,902,909,913,818,789,801,790,792,784,807,775,769
42.3612,952,954,952,886,807,778,751,763,785,762,752,737,765
42.3814,980,984,902,861,924,832,797,789,777,830,807,773,726
42.4015,919,945,954,945,855,765,797,784,769,722,803,760,808
42.4217,956,932,923,929,910,835,797,773,800,828,817,807,789
