2Theta,0h,2h,4h,6h,8h,10h,12h,14h,16h,18h,20h,22h,24h
40.0015,673,637,647,628,654,651,630,660,602,647,636,615,638
40.0217,603,599,618,627,667,638,602,624,639,671,597,647,649
40.0418,650,656,617,635,610,592,652,652,641,695,652,593,610
40.062,657,616,628,643,626,644,629,583,607,620,600,627,618
40.0822,632,622,628,658,652,654,670,650,630,651,601,616,648
40.1023,651,649,603,646,673,616,643,651,615,636,623,640,627
40.1225,647,641,647,638,628,649,654,622,563,673,643,658,614
40.1427,650,624,663,670,588,617,616,646,605,652,626,614,608
40.1628,638,607,655,683,615,637,608,598,647,597,598,635,653
40.183,649,616,678,664,688,579,639,590,631,637,645,647,622
40.2032,580,622,617,652,665,608,647,639,605,646,634,654,651
40.2233,643,609,630,631,608,634,648,676,647,647,593,604,632
40.2435,635,642,629,640,635,629,640,609,623,652,647,619,659
40.2637,626,653,619,702,597,655,679,639,630,664,635,591,582
40.2838,611,651,674,650,616,665,605,632,623,603,627,625,622
40.304,663,620,658,613,594,606,623,677,637,620,674,609,605
40.3242,656,625,638,660,622,669,675,656,657,632,645,654,663
40.3444,611,651,606,648,665,619,660,655,636,596,656,599,623
40.3645,626,658,613,619,649,608,565,614,639,597,587,606,576
40.3847,634,656,640,649,650,594,656,663,697,632,615,656,643
40.4049,637,625,667,648,596,619,689,642,567,580,634,656,631
40.425,658,616,625,664,625,647,649,604,617,646,594,619,627
40.4452,650,653,644,630,676,679,615,611,617,614,613,616,614
40.4654,597,621,660,670,683,624,569,611,645,665,622,627,627
40.4855,614,664,675,622,645,619,689,625,618,600,609,647,628
40.5057,647,619,631,610,650,633,671,627,617,620,632,602,652
40.5259,616,688,614,642,659,586,662,687,596,623,589,639,673
40.546,640,650,630,647,637,615,594,611,633,620,642,609,632
40.5662,641,669,593,626,645,633,661,588,619,596,605,631,586
40.5864,622,614,579,683,664,666,693,635,651,603,581,617,596
40.6065,624,635,709,652,655,617,646,633,641,616,616,603,581
40.6267,687,685,627,673,636,631,620,650,616,628,593,629,623
40.6469,693,614,651,670,635,657,666,660,636,646,616,578,630
40.6671,648,625,679,620,650,619,627,658,607,647,620,600,615
40.6872,674,673,616,649,613,632,632,623,671,591,634,594,607
40.7074,685,702,660,634,648,612,621,616,623,592,653,614,635
40.7276,621,671,646,689,636,649,649,601,657,607,622,653,626
